hydrophobicity_score	Recognition_score	self_sequence_similarity	EL_dissimilarity	EL_mt_rank	EL_wt_rank	EL_ht_rank	Pep_len	response
0.978933	0.999999999973	0.966101694915	0.119738365624	2.3728	2.2578	2.2578	11	0
0.367755	3.47621712121e-09	0.934782608696	0.499999382759	0.0311	0.0264	8.2813	9	0
0.722018	1.0	0.854838709677	9.35712310638e-31	15.8288	23.5606	23.5606	9	0
0.400525	3.4758040503e-09	0.93023255814	0.00722053742419	2.9847	3.7516	3.7516	9	0
0.33993	0.500058951639	0.941176470588	0.50114450477	0.425	9.6448	0.8154	9	0
0.113792	1.39040358303e-08	0.88679245283	0.499992259798	0.2848	0.2677	0.2677	9	0
0.103134	0.00017684015718	0.910714285714	0.499992451324	0.1461	0.1112	1.4997	10	0
0.667536	5.98577275578e-05	0.901960784314	0.49304407489	1.2349	1.0254	1.0254	10	0
0.73183	3.14779137343e-15	0.909090909091	0.496091618205	1.1482	0.9849	0.9849	9	0
0.95503	2.66960937174e-11	0.943396226415	6.40891937602e-61	29.72	31.3333	31.3333	11	0
0.57141	3.55669782038e-09	0.911111111111	0.990296516437	1.0747	4.174	4.174	9	0
0.577789	9.05439784516e-07	0.942307692308	0.501731695833	1.058	1.1261	1.1261	10	0
0.932829	1.0	0.875	6.09026321667e-14	8.0859	95.0	2.282	11	0
0.794109	0.99744710839	0.857142857143	0.00795863127198	2.9651	4.2159	4.2159	11	0
0.949558	2.71044188022e-11	1.0	3.32136433566e-05	4.0625	4.0625	4.0625	11	0
0.040942	5.94260877708e-05	0.75	4.42224778715e-08	5.3868	3.9277	3.9277	10	0
0.155979	6.97994841208e-09	0.9375	0.610178720234	1.1436	1.7664	1.7664	9	0
0.0197136	2.73077289303e-11	0.875	0.495885092201	1.1816	1.0443	1.0443	10	0
0.0447324	5.89559522464e-05	0.877551020408	0.255974019738	2.2134	8.0567	1.5985	10	0
0.121742	0.00767917303656	0.909090909091	9.07835006107e-05	3.8613	3.406	3.406	10	0
0.449657	0.999999999973	0.942307692308	0.489980517094	1.2467	0.8124	0.8124	10	0
0.928527	0.00761977794107	0.882352941176	0.00029536403007	3.6254	4.2485	3.127	11	0
0.712715	0.00779392671087	0.880952380952	0.0186045251609	2.6626	1.447	1.447	9	0
